Town,lat,CCName,Address,X,Perimeter,Postcode,Y,y:location_lat,y:location_lon,Area,y:row,lng,TelNo
Wallington,51.352149773788,"Amy Johnson Childrens Centre","Mollison Drive",530318.87899999996,473.755,"SM6 9JN",163112.06700000001," "," ",2594.7249999999999,2,-0.12995449758437,"020 8669 3978"
Beddington,51.372771157716,"Beddington Childrens Centre","Derry Road",529979.65700000001,349.221,"CR0 4UA",165398.03200000001," "," ",1751.05,3,-0.13398825612767,"020 8405 2047"
Sutton,51.364031871137,"Manor Park Childrens Centre","Myrtle Road",526250.53599999996,201.529,"SM1 4AW",164332.068," "," ",952.096,4,-0.18791261979798,"020 8405 2070"
Carshalton,51.37683596072,"Muschamp Childrens Centre","Muschamp Road",527346.44799999997,292.87,"SM5 2SE",165783.989," "," ",1304.6110000000001,5,-0.17165982270348,"020 8773 4980"
Sutton,51.347616906137,"Shanklin Community Childrens Centre","Rookley Close",525726.647,62.530000000000001,"SM2 6TT",162492.671," "," ",184.874,6,-0.19608321215836,"020 8406 1354"
Mitcham,51.384103829684,"Spencer Childrens Centre","Spencer Road",528036.304,100.803,"CR4 4JP",166609.94699999999," "," ",267.303,7,-0.16145601736567,"020 8648 4126"
Carshalton,51.354810197078,"Stanley Park Childrens Centre","Stanley Park Road",527957.47199999995,313.964,"SM5 3JL",163348.429," "," ",1562.5799999999999,8,-0.16376120923479,"020 8647 6771"
Sutton,51.363058731303,"Thomas Wall Childrens Centre","Robin Hood Lane",525357.43900000001,108.29900000000001,"SM1 2SF",164201.796," "," ",496.923,9,-0.20078011501594,"020 8722 0280"
Carshalton,51.384324141201,"Tweedale Childrens Centre","Tweedale Road",526780.679,395.85000000000002,"SM5 1SW",166603.125," "," ",1945.8109999999999,10,-0.17949230288389,"020 8404 1640"
Carshalton,51.369682603451,"Victor Seymour Childrens Centre","Denmark Road",527828.62600000005,277.74700000000001,"SM5 2JE",165000.073," "," ",1511.5740000000001,11,-0.16501740551072,"020 8410 5003"
