ID,lat,Spaces,x,description,y:location_lat,y:location_lon,y,CycleStandLocations,y:row,northing,title,lng,easting
1,51.389245241052,14,529383,"14 cycle parking spaces"," "," ",167216,"Beddington Lane Tram stop",2,167216,"Beddington Lane Tram stop",-0.14189388014536,529383
2,51.385563930469,12,530312,"12 cycle parking spaces"," "," ",166830,"Therapia Lane Tram stop",3,166830,"Therapia Lane Tram stop",-0.12869152781394,530312
3,51.38520574734,10,530228,"10 cycle parking spaces"," "," ",166788,"Junction of Coomber Road &amp;#92;/ Ampere Way",4,166788,"Junction of Coomber Road &amp;#92;/ Ampere Way",-0.12991336786032,530228
4,51.377100700534,6,530184,"6 cycle parking spaces"," "," ",165885,Asda,5,165885,Asda,-0.13087594831764,530184
5,51.373284618211,2,529619,"2 cycle parking spaces"," "," ",165446,"Beddington Park South Car Park",6,165446,"Beddington Park South Car Park",-0.13914930649291,529619
6,51.371562616841,10,530115,"10 cycle parking spaces"," "," ",165267,"Beddington Village Hall",7,165267,"Beddington Village Hall",-0.132092853635,530115
7,51.370192903852,2,528313,"2 cycle parking spaces"," "," ",165069,"8 Butter Hill",8,165069,"8 Butter Hill",-0.15803799901183,528313
8,51.368553171841,4,528530,"4 cycle parking spaces"," "," ",164892,"Junction of Butter Hill &amp;#92;/ London Road",9,164892,"Junction of Butter Hill &amp;#92;/ London Road",-0.15498626853212,528530
9,51.367851034173,2,530115,"2 cycle parking spaces"," "," ",164854,"202 Croydon Road",10,164854,"202 Croydon Road",-0.13224389395772,530115
10,51.367796254513,2,530158,"2 cycle parking spaces"," "," ",164849,"178 Croydon Road",11,164849,"178 Croydon Road",-0.1316283715759,530158
11,51.367516287129,2,530164,"2 cycle parking spaces"," "," ",164818,"7 The Broadway",12,164818,"7 The Broadway",-0.13155356973839,530164
12,51.367509645248,2,530193,"2 cycle parking spaces"," "," ",164818,"1 The Broadway",13,164818,"1 The Broadway",-0.13113721965453,530193
13,51.366957440566,4,530132,"4 cycle parking spaces"," "," ",164755,"Beddington Library",14,164755,"Beddington Library",-0.13203603049807,530132
14,51.366912277188,4,530133,"4 cycle parking spaces"," "," ",164750,"20 Plough Lane",15,164750,"20 Plough Lane",-0.13202350230367,530133
15,51.361528258394,2,529586,"2 cycle parking spaces"," "," ",164137,"54 Demesne Road",16,164137,"54 Demesne Road",-0.14009985653232,529586
