ID,PracticeName,Town,lat,Address,X,Perimeter,Postcode,TelephoneNumber,Y,y:location_lat,y:location_lon,Area,y:row,lng
1,"A Patel BDS (London) L.D.F.R.C.S",Carshalton,51.387286715019,"197 Middleton Road",526669,83.217,"SM5 1HE","020 8648 3888",166930," "," ",340.995,2,-0.18097981596616
2,"Apex Dental Care",Wallington,51.357891291816,"21 Stafford Road",529179,114.207,"SM6 9AN","020 8647 1049",163722," "," ",536.252,3,-0.14609299082048
3,"Beeches Dental Surgery",Carshalton,51.356812773894,"9 Beeches Avenue",527467,50.831,"SM5 3LB","020 8773 4508",163559," "," ",137.109,4,-0.1707256893697
4,"Belmont Dental Practice",Sutton,51.343579666258,"14 Station Road",525464,74.95,"SM2 6BH","020 8770 9990",162037," "," ",153.4,5,-0.20001298150922
5,"Carlton Dental",Carshalton,51.371457047709,"71 North Street",527688,144.614,"SM5 2HG","020 8647 1533",165194," "," ",371.109,6,-0.166966892659
6,"Carshalton Dental Care",Carshalton,51.371811734317,"10 Levett Cottages, Wrythe Lane",527389,105.602,"SM5 2RE","020 8669 8866",165226," "," ",249.915,7,-0.17124861018857
7,"Cheam Dental Health Centre",Sutton,51.369406897322,"421 London Road",523297,105.455,"SM3 8JN","020 8404 8080",164858," "," ",632.539,8,-0.23013293610417
8,"Cheam Road Dental Practice",Cheam,51.359644515701,"125 Cheam Road",525035,132.448,"SM1 2BH","020 8642 9345",163814," "," ",704.012,9,-0.20554529665532
9,"D&amp;S Carr Dental Practice",Sutton,51.387060227417,"92 Epsom Road",524605,122.067,"SM3 9ES","020 8337 1168",166854," "," ",685.453,10,-0.2106530878058
10,"D A Oram&amp;Associates Dental Surgeons",Carshalton,51.356278334352,"109 Banstead Road",527245,86.462,"SM5 3NP","020 8643 1842",163494," "," ",351.282,11,-0.17393548307146
11,"Dalmeny House","Worcester Park",51.374374136452,"167 Cheam Common Road",522978,123.715,"KT4 8SX","020 8330 2144",165403," "," ",585.203,12,-0.23452483695048
