ID,Recycle,recyclables,X,lat,description,Y,Postcode,y:location_lat,y:location_lon,Site,Area,y:row,northing,title,easting,lng
1,"C,G,P,PI,T","Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines&lt;br/&gt;Textiles, clothes and shoes",530268.603,51.375307079258,"Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines&lt;br/&gt;Textiles, clothes and shoes",165687.575,CR0 4XS, , ,"ASDA, Beddington Lane",Beddington,2,165687.575,"ASDA, Beddington Lane CR0 4XS",530268.603,-0.12973337239923
2,"Bc,C,G,P,PI,T","Beverage cartons (Tetra Paks)&lt;br/&gt;Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines&lt;br/&gt;Textiles, clothes and shoes",528032.27,51.365792757155,"Beverage cartons (Tetra Paks)&lt;br/&gt;Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines&lt;br/&gt;Textiles, clothes and shoes",164572.345,SM5 3AT, , ,"Car Park, High Street",Carshalton,3,164572.345,"Car Park, High Street SM5 3AT",528032.27,-0.16224742266869
3,"C,G,P,PI,T","Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines&lt;br/&gt;Textiles, clothes and shoes",527867.361,51.370402829514,"Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines&lt;br/&gt;Textiles, clothes and shoes",165081.183,SM5 2JG, , ,"Denmark Road Car Park, opp Victor Seymour Infants School",Carshalton,4,165081.183,"Denmark Road Car Park, opp Victor Seymour Infants School SM5 2JG",527867.361,-0.16443210330573
4,G,Glass bottles and jars,527929.397,51.34902708603,Glass bottles and jars,162704.234,SM5 4AE, , ,Fountain Drive,Carshalton Beeches,5,162704.234,Fountain Drive SM5 4AE,527929.397,-0.16439557044875
5,"C,G,P,PI",Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines,523665.723,51.368175492893,Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines,164729.898,SM3 8EP, , ,"Cheam Leisure Centre, Malden Road",Cheam,6,164729.898,"Cheam Leisure Centre, Malden Road SM3 8EP",523665.723,-0.22488324346858
6,"B,C,G,P,PI",Batteries&lt;br/&gt;Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines,524321.176,51.360340458112,Batteries&lt;br/&gt;Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines,163874.019,SM3 8QH, , ,"Cheam Library Car Park, Park Road",Cheam,7,163874.019,"Cheam Library Car Park, Park Road SM3 8QH",524321.176,-0.21577135082003
7,"Bc,C,G,P,PI,T","Beverage cartons (Tetra Paks)&lt;br/&gt;Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines&lt;br/&gt;Textiles, clothes and shoes",524235.928,51.357026897958,"Beverage cartons (Tetra Paks)&lt;br/&gt;Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines&lt;br/&gt;Textiles, clothes and shoes",163503.253,SM3 8SL, , ,Kingsway Road Car Park,Cheam,8,163503.253,Kingsway Road Car Park SM3 8SL,524235.928,-0.21712449711437
8,"G,P",Glass bottles and jars&lt;br/&gt;Newspapers and magazines,524156.211,51.360457221315,Glass bottles and jars&lt;br/&gt;Newspapers and magazines,163883,SM3 8ET, , ,"Scout HQ, Malden Road",Cheam,9,163883,"Scout HQ, Malden Road SM3 8ET",524156.211,-0.21813634836381
9,"C,G,P,PI,T","Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines&lt;br/&gt;Textiles, clothes and shoes",528746.658,51.326750370514,"Mixed cans (mix together with cans)&lt;br/&gt;Glass bottles and jars&lt;br/&gt;Newspapers and magazines&lt;br/&gt;Textiles, clothes and shoes",160245.993,CR5 2PT, , ,"The Mount, Grove Lane",Coulsdon,10,160245.993,"The Mount, Grove Lane  CR5 2PT",528746.658,-0.15355472633317
10,G,Glass bottles and jars,528829.297,51.372656814518,Glass bottles and jars,165356.161,SM6 7BT, , ,"Beddington Park Car Park, London Road",Hackbridge,11,165356.161,"Beddington Park Car Park, London Road SM6 7BT",528829.297,-0.15052106441433
